How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Why or why not?.1,What is your age?,What is your gender?
500-1000,1.0,No,Yes,None did,I don't know,Possibly,Possibly,Yes,6,Maybe,Depends on if I the issue affects my work or if it would require accommodations. ,I'm not comfortable opening up about that with people I don't know well.,25.0,male
More than 1000,1.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,9,Yes,It is very important to prevent,It is irrelevant being on treatment,48.0,male
100-500,0.0,Yes,I don't know,I don't know,I don't know,Yes,Yes,I don't know,2,No,Fear of discrimination,Stigma,34.0,Male
100-500,1.0,No,I don't know,None did,I don't know,No,Yes,Yes,3,No,Fear of discrimination,Stigma,42.0,M
100-500,1.0,No,I don't know,None did,I don't know,Yes,Possibly,Yes,8,Yes,Physical health is generally seen as more acceptable.,Bias...probably wouldn't get hired if they thought I had mental health issues.,27.0,Male
More than 1000,1.0,No,Yes,None did,I don't know,Possibly,No,Yes,7,Yes,I would bring it up if it affects my attendance,I would be cautious to bring this up because it may be perceived as negatively impacting the quality of my work,33.0,Female
26-100,1.0,No,I don't know,Some did,"Yes, always",Yes,Yes,I don't know,7,No,Because I don’t want to give them a reason to disqualify me from a job. ,I don’t want to scare a potential employer away,27.0,Female
500-1000,1.0,No,I don't know,Some did,Sometimes,Possibly,Possibly,I don't know,3,No,Fear of discrimination,Stigma,48.0,m
More than 1000,1.0,No,Yes,Some did,Sometimes,Yes,Yes,I don't know,7,Maybe,"if it didn't have any influence on my ability to do my job, I probably wouldn't. ","definitely not in an interview, unless I have ADA ",32.0,f
100-500,1.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,9,No,"I feel that there is an implicit bias against physical disorders that would affect my potential of getting a job. Unless the physical issue was severe enough that I would certainly need to be accommodated, I would not discuss it.","Similar to physical health, I think there is an implicit and sometimes overt bias to those with mental health issues. Due to a general lack of understanding of the issue, I believe that it would affect my ability to get the job. This is due to the stereotype that it would affect my work in a severe way and the desire to get the most ""normal"" employees.",29.0,Male
More than 1000,1.0,No,I don't know,None did,"Yes, always",Yes,Yes,Yes,9,Maybe,could lead to not getting job if they think it would affect my attendance / productivity.,same. also then they would thing I'm less capable.,36.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,I don't know,4,No,Not relevant to the job.,"Also, not relevant to the job.",29.0,Female
100-500,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,No,5,Maybe,Fear of discrimination,Stigma,23.0,female
More than 1000,0.0,I don't know,Yes,None did,I don't know,Possibly,Yes,I don't know,6,No,would be afraid of not getting the job ,would be afraid of not getting the job ,50.0,Female
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,10,No,"
",Stigma,24.0,female
6-25,1.0,No,I don't know,Some did,"Yes, always",No,No,No,7,Maybe,I would if it would have an effect on my work. I wouldn't if it wouldn't have.,I think I would be afraid if it would cause an issue or they would reject my application because of it.,29.0,Female
More than 1000,0.0,I don't know,I don't know,Some did,Sometimes,Possibly,Possibly,Yes,9,Maybe,It would depend on whether I thought the issue would impact my ability to do the job.,It would depend on how safe I felt with the interviewer.,42.0,female
More than 1000,1.0,No,I don't know,I don't know,I don't know,Possibly,Possibly,No,9,Maybe,Fear of discrimination,"If there's discussion from them about the support provided for mental health issues, then I'd be more likely to mention my own issues.",35.0,Male
100-500,1.0,No,I don't know,None did,I don't know,Don't Know,No,I don't know,7,Maybe,Fear of discrimination,Stigma,22.0,Male
500-1000,1.0,Yes,I don't know,None did,I don't know,Yes,Possibly,I don't know,7,Maybe,I just don't know if it's their business.,"It's personal. I wouldn't want to talk about PSTD in an interview because they might ask what it was about, etc, and that's all highly sensitive stuff.",39.0,Female
6-25,1.0,No,I don't know,Some did,"Yes, always",Possibly,Possibly,Yes,5,Maybe,"My physical health issue is Celiac disease, which makes it difficult to have company outings -- need to find a safely gluten-free restaurant -- and wouldn't want them to think I couldn't be a team player because of food-finding difficulties.",Wouldn't want them to think I was unreliable.,29.0,femalw
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,5,Maybe,I am not sure depends on the interviewer ,I am not sure ,20.0,Male
1-5,0.0,Yes,I don't know,None did,I don't know,Yes,Yes,Yes,7,No,Scared of not getting the job,It depends on the type of work I am seeking and I would need to gauge the interviewers knowledge of Mental health,36.0,female
100-500,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,Maybe,stereotype,stereotype,30.0,femail
More than 1000,1.0,No,I don't know,Some did,"Yes, always",No,Possibly,I don't know,4,No,I don't feel that I have a physical health issue that would impact my ability to do tech work.,I tend to keep personal and work separate.,36.0,male
6-25,1.0,No,I don't know,None did,I don't know,No,Yes,Yes,7,No,I would be concerned that it might impact my employability ,It'd definitely affect my employability ,31.0,Male
6-25,1.0,No,I don't know,I don't know,I don't know,Possibly,Possibly,No,8,Maybe,Stigma? I don't have a physical health issue so I don't know what this hypothetical issue might be and I could see the answer changing based on what it was.,Fear of stigma? Fear of not being employed and getting health insurance.,28.0,male
26-100,0.0,No,I don't know,None did,I don't know,No,No,I don't know,10,Yes,I would if it were relevant to the job or would affect my performance regularly.,"I guess it's the same as physical, but it may be more personal. Have heard of bad experiences being too open.",28.0,Male (cis)
More than 1000,0.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,8,No,Fear of discrimination,Stigma,25.0,Female
26-100,1.0,No,I don't know,Some did,"Yes, always",Possibly,Yes,I don't know,9,No,"I would make sure that it's not an issue for my work performance, as far as possible","I would make sure that it's not an issue for my work performance, as far as possible",30.0,male
More than 1000,1.0,No,I don't know,Some did,I don't know,No,Possibly,Yes,7,Maybe,"Irrelevant unless it relates to my job. Specifically, being on my feet for more than a few hours is a problem for me, but not a problem at desk work.","Only in the in respect of emphasizing my desire to moderate time commitments, and hold some projects at arms length - rather than being the crux of a project.",45.0,m
100-500,1.0,No,Yes,None did,"Yes, always",No,No,No,6,Maybe,It would depend if I would feel discriminated and if the issue would create impediments for the proposed job,I don't think it would be a good way to influence the interview. Either is a good employer (and I will be well covered) or the opposite ,31.0,Male
100-500,1.0,No,Yes,None did,I don't know,No,No,No,1,No,Fear of discrimination,Stigma,36.0,Male
6-25,1.0,No,Yes,Some did,"Yes, always",No,No,Yes,5,Maybe,Fear of discrimination,Stigma,37.0,male
26-100,1.0,No,Yes,None did,"Yes, always",No,No,No,8,Maybe,"It would depend if it's relevant to the workplace.  Eg, inability to sit/stand at a desk for long periods. If relevant, it makes sense to ensure that a standing/sitting desk is available.","As with physical health, it depends if it would be work-relevant.  ",37.0,Male
More than 1000,1.0,No,I don't know,None did,"Yes, always",No,Possibly,No,0,No,Because it is not of their business. They won't help anyway.,Same.,28.0,male
26-100,1.0,No,Yes,None did,"Yes, always",No,Possibly,No,10,No,"is a job interview from an employer, not a doctor.","it´s an employer, not a psichologist",37.0,male
26-100,1.0,No,I don't know,None did,I don't know,Don't Know,No,No,0,No,"duh, will not get the job obviously",will not get the job obviously.,37.0,male
More than 1000,1.0,No,I don't know,Some did,Sometimes,Yes,Yes,No,3,Maybe,fear iy would impact negatively,too many negative impacts,64.0,m
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,No,3,Maybe,better understanding of my situation /fairplay,fairplay,34.0,female
More than 1000,1.0,No,I don't know,None did,I don't know,Possibly,Possibly,Yes,6,Yes,Mental health issues are considered a taboo and in my society have impact,I believe it's hard to trust someone with mental health issues,34.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,No,Yes,8,No,Fear of discrimination,Stigma,36.0,Male
More than 1000,1.0,No,I don't know,None did,No,No,No,No,4,No,Fear of discrimination,Stigma,26.0,m
100-500,1.0,No,I don't know,None did,I don't know,Don't Know,No,No,6,Yes,A physical health issue can be something which keeps me away from work or makes me perform worse than my average performance. And future employees should know about this.,"Discussing mental health issues is not conversation topic in our region (at least as I've learned so far), therefore, I wouldn't discuss such conditions openly.",33.0,male
500-1000,1.0,No,I don't know,Some did,"Yes, always",No,No,No,9,Yes,"Perception of protection, and not seen as a weakness potentially impacting performance...",Seen as potentially impacting performance.,47.0,f
100-500,1.0,Yes,I don't know,None did,I don't know,Possibly,Yes,I don't know,5,No,"If it didn't affect my work, it wouldn't matter",The stigma,24.0,Female
100-500,1.0,No,I don't know,Some did,I don't know,Yes,Yes,Yes,6,No,Fear of discrimination,Stigma,26.0,Male
More than 1000,1.0,Yes,Yes,None did,I don't know,No,Yes,I don't know,5,Maybe,Fear of discrimination,Stigma,37.0,Male
More than 1000,1.0,Yes,No,None did,I don't know,Yes,Possibly,I don't know,2,No,"Not their business, it may bias the hiring process","Not necessary, it may bias the hiring process",29.0,Male
26-100,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,10,No,Fear of discrimination,Stigma,33.0,Female
More than 1000,1.0,Yes,I don't know,Some did,Sometimes,Yes,Yes,Yes,10,Yes,I have a whopping pre-existing condition that would probably affect the insurance premiums of a small company,It's under control and if they're interviewing me I probably don't know them that well,44.0,male
More than 1000,1.0,Yes,I don't know,Some did,I don't know,No,Yes,Yes,6,Maybe,"Depending on the work and environment, some physical issues wouldn't concern me, and some wouldn't concern my employer.",I think the same reasoning for physical health issues applies to my stance on bringing mental health into an interview; there are just some environments where I wouldn't be concerned.,34.0,Female
More than 1000,1.0,Yes,I don't know,None did,I don't know,Don't Know,No,Yes,3,No,None of their business.,None of their business.,35.0,Male
100-500,1.0,No,I don't know,Some did,I don't know,Yes,Yes,I don't know,5,Yes,"My physical issue is RSI, and it has direct impact on my work. I mention it because employers are often willing to buy some ergonomic equipment I need in order to keep me from requiring surgery. Everybody wins.",Well I mean it's not like there is anything they can do for my depression and PTSD.,32.0,uhhhhhhhhh fem genderqueer?
More than 1000,1.0,No,I don't know,None did,I don't know,Yes,Yes,Yes,7,Yes,Fear of discrimination,Stigma,23.0,Male
More than 1000,1.0,No,I don't know,None did,I don't know,No,Yes,Yes,10,Yes,"If it was relevant, why not?","I would like to think so, but this shit is hard.",31.0,Male
100-500,1.0,No,Yes,None did,"Yes, always",Yes,Yes,Yes,8,Yes,"I'm a wheelchair user; ""is your office accessible"" is basically job hunt question #1.","High risk, low reward.",30.0,M
More than 1000,1.0,No,I don't know,Some did,"Yes, always",No,No,No,8,No,In UK its illegal to ask those sort of questions at interview. If I was accepted for job based on my skills I'd then discuss accommodating my requirements.,In UK its illegal to ask those sort of questions at interview. If I was accepted for job based on my skills I'd then discuss accommodating my requirements.,42.0,male (hey this is the tech industry you're talking about)
